iter	Passed	Remaining
0	50	40433
1	53	21223
2	56	14935
3	60	11975
4	63	10100
5	66	8801
6	69	7905
7	73	7244
8	76	6767
9	80	6323
10	83	5982
11	84	5579
12	88	5358
13	93	5226
14	97	5111
15	102	5030
16	106	4925
17	110	4797
18	114	4706
19	117	4600
20	121	4523
21	125	4443
22	129	4366
23	132	4296
24	136	4239
25	139	4159
26	143	4100
27	146	4026
28	149	3977
29	152	3920
30	155	3859
31	158	3811
32	162	3769
33	165	3722
34	168	3679
35	171	3636
36	175	3614
37	178	3577
38	182	3555
39	185	3518
40	188	3498
41	190	3431
42	193	3405
43	199	3424
44	203	3418
45	207	3408
46	213	3418
47	218	3421
48	226	3477
49	232	3492
50	238	3498
51	244	3520
52	250	3524
53	255	3527
54	261	3539
55	266	3539
56	273	3571
57	280	3583
58	287	3607
59	293	3615
60	297	3608
61	302	3600
62	306	3588
63	311	3580
64	317	3594
65	324	3609
66	329	3604
67	333	3594
68	341	3613
69	344	3588
70	348	3578
71	353	3569
72	357	3564
73	363	3561
74	367	3557
75	374	3565
76	378	3557
77	382	3541
78	386	3526
79	390	3517
80	394	3502
81	398	3490
82	402	3472
83	405	3456
84	409	3442
85	412	3424
86	415	3408
87	420	3398
88	423	3380
89	426	3366
90	431	3361
91	438	3371
92	441	3353
93	444	3338
94	447	3320
95	450	3303
96	453	3289
97	457	3275
98	461	3267
99	465	3258
100	469	3248
101	472	3234
102	475	3220
103	478	3205
104	482	3195
105	486	3187
106	490	3174
107	493	3160
108	496	3150
109	500	3138
110	504	3130
111	508	3121
112	511	3112
113	517	3112
114	520	3101
115	524	3090
116	527	3079
117	530	3064
118	533	3051
119	536	3039
120	539	3027
121	542	3014
122	546	3009
123	549	2997
124	552	2985
125	556	2974
126	559	2965
127	562	2953
128	565	2942
129	568	2932
130	573	2926
131	576	2915
132	579	2905
133	582	2895
134	585	2884
135	588	2875
136	592	2866
137	595	2855
138	598	2844
139	601	2835
140	604	2825
141	607	2813
142	610	2803
143	613	2794
144	616	2782
145	619	2773
146	622	2765
147	625	2756
148	628	2746
149	631	2737
150	634	2727
151	637	2717
152	640	2707
153	643	2697
154	646	2689
155	649	2681
156	653	2677
157	656	2669
158	659	2659
159	663	2654
160	667	2648
161	670	2641
162	673	2633
163	677	2628
164	680	2620
165	684	2614
166	688	2609
167	692	2604
168	696	2601
169	699	2593
170	702	2585
171	705	2576
172	709	2571
173	712	2563
174	716	2557
175	719	2550
176	723	2545
177	726	2538
178	729	2530
179	733	2525
180	736	2517
181	739	2509
182	742	2502
183	745	2494
184	748	2489
185	751	2480
186	755	2475
187	758	2467
188	761	2462
189	765	2458
190	769	2453
191	773	2449
192	776	2442
193	780	2437
194	783	2429
195	786	2423
196	790	2419
197	793	2411
198	796	2405
199	800	2400
200	804	2396
201	807	2391
202	811	2387
203	815	2381
204	818	2375
205	821	2369
206	824	2363
207	828	2357
208	831	2350
209	834	2345
210	838	2339
211	841	2334
212	845	2329
213	848	2323
214	852	2318
215	855	2313
216	859	2309
217	866	2312
218	870	2310
219	874	2305
220	878	2301
221	882	2297
222	886	2293
223	890	2288
224	893	2284
225	898	2283
226	903	2279
227	906	2274
228	910	2270
229	914	2266
230	918	2263
231	922	2258
232	926	2253
233	929	2249
234	933	2244
235	936	2238
236	939	2232
237	943	2226
238	946	2221
239	950	2217
240	953	2212
241	957	2206
242	959	2199
243	962	2193
244	966	2188
245	969	2182
246	972	2176
247	974	2169
248	977	2163
249	980	2157
250	983	2151
251	986	2145
252	990	2141
253	993	2136
254	997	2131
255	1000	2126
256	1004	2121
257	1007	2115
258	1010	2110
259	1013	2105
260	1017	2100
261	1020	2094
262	1023	2089
263	1026	2083
264	1029	2079
265	1032	2073
266	1036	2068
267	1039	2063
268	1042	2057
269	1044	2050
270	1047	2045
271	1051	2040
272	1055	2037
273	1058	2031
274	1061	2027
275	1065	2022
276	1068	2017
277	1071	2011
278	1074	2006
279	1077	2001
280	1080	1996
281	1083	1990
282	1087	1985
283	1090	1981
284	1093	1976
285	1096	1970
286	1099	1964
287	1102	1959
288	1104	1953
289	1108	1949
290	1112	1946
291	1116	1941
292	1119	1936
293	1122	1931
294	1125	1926
295	1128	1921
296	1131	1916
297	1135	1912
298	1138	1907
299	1142	1904
300	1145	1899
301	1148	1894
302	1151	1889
303	1155	1885
304	1158	1879
305	1161	1874
306	1163	1869
307	1166	1863
