iter	Passed	Remaining
0	50	40429
1	52	21142
2	55	14803
3	58	11607
4	61	9722
5	63	8423
6	66	7521
7	69	6894
8	72	6379
9	75	5934
10	77	5587
11	78	5187
12	81	4953
13	84	4726
14	87	4558
15	89	4400
16	92	4257
17	95	4137
18	98	4042
19	101	3977
20	105	3916
21	108	3835
22	111	3773
23	114	3695
24	117	3632
25	120	3576
26	122	3511
27	125	3451
28	127	3402
29	130	3357
30	133	3315
31	136	3275
32	138	3225
33	141	3184
34	144	3158
35	147	3126
36	150	3107
37	153	3075
38	156	3050
39	159	3030
40	162	3008
41	163	2953
42	166	2936
43	169	2917
44	172	2893
45	175	2869
46	179	2869
47	182	2861
48	185	2840
49	188	2827
50	191	2810
51	194	2793
52	198	2793
53	201	2783
54	204	2768
55	207	2756
56	210	2748
57	213	2732
58	216	2718
59	219	2703
60	222	2701
61	226	2690
62	229	2683
63	233	2685
64	237	2690
65	241	2685
66	244	2677
67	247	2663
68	250	2649
69	251	2627
70	255	2620
71	258	2614
72	261	2605
73	264	2595
74	268	2591
75	272	2592
76	275	2583
77	278	2575
78	281	2568
79	284	2557
80	288	2560
81	292	2557
82	296	2562
83	300	2564
84	303	2556
85	307	2551
86	310	2545
87	313	2538
88	317	2533
89	320	2529
90	323	2520
91	327	2523
92	331	2517
93	334	2511
94	337	2503
95	340	2495
96	344	2494
97	347	2491
98	351	2488
99	354	2481
100	357	2477
101	361	2472
102	365	2473
103	369	2474
104	373	2472
105	377	2468
106	380	2465
107	384	2463
108	388	2464
109	393	2465
110	396	2462
111	400	2459
112	404	2462
113	408	2456
114	411	2451
115	414	2444
116	417	2436
117	421	2433
118	424	2431
119	428	2429
120	432	2429
121	436	2426
122	440	2423
123	444	2423
124	449	2425
125	454	2428
126	459	2434
127	464	2439
128	468	2438
129	472	2436
130	477	2438
131	481	2439
132	486	2437
133	490	2437
134	494	2437
135	500	2441
136	506	2449
137	512	2456
138	518	2467
139	525	2478
140	531	2485
141	538	2496
142	543	2497
143	547	2493
144	553	2500
145	557	2496
146	560	2490
147	567	2500
148	576	2518
149	581	2517
150	584	2513
151	588	2506
152	592	2503
153	595	2499
154	600	2497
155	603	2493
156	607	2488
157	611	2483
158	615	2479
159	619	2477
160	622	2471
161	626	2467
162	630	2462
163	633	2458
164	638	2455
165	641	2450
166	644	2443
167	648	2438
168	651	2433
169	655	2429
170	659	2427
171	663	2422
172	667	2417
173	670	2412
174	674	2407
175	677	2402
176	681	2399
177	685	2394
178	688	2390
179	692	2386
180	696	2382
181	700	2377
182	704	2374
183	708	2370
184	712	2370
185	716	2365
186	720	2361
187	724	2358
188	727	2353
189	731	2349
190	735	2344
191	739	2341
192	743	2337
193	747	2334
194	751	2331
195	755	2327
196	758	2322
197	762	2317
198	766	2315
199	770	2310
200	773	2305
201	776	2300
202	780	2296
203	786	2296
204	790	2294
205	796	2295
206	801	2295
207	806	2294
208	810	2292
209	815	2290
210	819	2288
211	825	2289
212	829	2286
213	834	2283
214	838	2282
215	843	2280
216	847	2278
217	852	2275
218	857	2273
219	861	2271
220	866	2269
221	870	2266
222	874	2262
223	878	2258
224	881	2253
225	885	2249
226	889	2245
227	893	2240
228	896	2236
229	900	2232
230	904	2228
231	908	2223
232	912	2219
233	916	2215
234	919	2211
235	923	2207
236	927	2203
237	931	2199
238	935	2196
239	939	2191
240	942	2187
241	946	2182
242	951	2180
243	955	2177
244	959	2174
245	964	2171
246	968	2168
247	972	2164
248	975	2158
249	978	2152
250	981	2146
251	985	2142
252	989	2139
253	994	2137
254	998	2133
255	1002	2129
256	1005	2125
257	1009	2121
258	1013	2117
259	1017	2113
260	1021	2109
261	1024	2104
262	1028	2100
263	1032	2096
264	1036	2093
265	1041	2090
266	1045	2086
267	1049	2083
268	1053	2078
269	1056	2074
270	1060	2070
271	1064	2066
272	1068	2063
273	1073	2060
274	1078	2059
275	1082	2054
276	1085	2050
277	1089	2046
278	1093	2041
279	1097	2037
280	1100	2033
281	1104	2029
282	1109	2027
283	1114	2024
284	1118	2021
285	1123	2018
286	1129	2019
287	1133	2015
288	1137	2011
289	1142	2008
290	1145	2004
291	1151	2003
292	1155	1999
293	1160	1997
294	1166	1997
295	1172	1997
296	1177	1993
297	1181	1990
298	1186	1988
299	1191	1985
300	1195	1982
301	1200	1979
302	1205	1976
303	1209	1974
304	1215	1972
305	1219	1968
306	1225	1967
307	1230	1964
308	1235	1962
309	1242	1963
310	1248	1963
311	1253	1960
312	1258	1958
313	1263	1956
314	1268	1953
315	1273	1951
316	1278	1948
317	1283	1945
318	1289	1944
319	1294	1941
320	1299	1938
321	1307	1941
322	1312	1938
323	1320	1939
324	1324	1936
325	1329	1933
326	1335	1931
327	1340	1928
328	1346	1927
329	1352	1926
330	1358	1925
331	1365	1924
332	1370	1922
333	1381	1926
334	1386	1924
335	1393	1924
336	1399	1922
337	1405	1921
338	1412	1920
339	1417	1918
340	1423	1916
341	1429	1915
342	1435	1912
343	1442	1912
344	1447	1909
345	1454	1908
346	1460	1906
347	1465	1903
348	1471	1901
349	1477	1899
350	1483	1897
351	1489	1896
352	1495	1893
353	1499	1889
354	1505	1886
355	1509	1882
356	1514	1878
357	1518	1875
358	1523	1871
359	1528	1867
360	1532	1863
361	1538	1861
362	1542	1857
363	1546	1852
364	1551	1848
365	1556	1845
366	1560	1841
367	1565	1837
368	1570	1834
369	1575	1830
370	1579	1825
371	1582	1821
372	1586	1816
373	1590	1812
374	1593	1806
375	1597	1800
376	1600	1796
377	1604	1791
378	1608	1786
379	1610	1780
380	1614	1775
381	1618	1770
382	1621	1765
383	1625	1760
384	1628	1755
385	1632	1750
386	1636	1746
387	1640	1741
388	1643	1736
389	1647	1731
390	1650	1726
391	1654	1721
392	1657	1716
393	1661	1711
394	1664	1706
395	1668	1702
396	1672	1697
397	1675	1692
398	1679	1688
399	1684	1684
400	1687	1679
401	1691	1674
402	1694	1669
403	1697	1664
404	1701	1659
405	1704	1653
406	1707	1648
407	1712	1644
408	1715	1640
409	1720	1636
410	1724	1631
411	1728	1627
412	1732	1623
413	1735	1618
414	1739	1613
415	1743	1609
416	1747	1604
417	1750	1599
418	1754	1595
419	1757	1590
420	1761	1586
421	1765	1581
422	1771	1578
423	1776	1575
424	1779	1570
425	1783	1566
426	1787	1561
427	1790	1556
428	1794	1551
429	1798	1547
430	1801	1542
431	1805	1538
432	1809	1533
433	1812	1528
434	1816	1524
435	1820	1519
436	1824	1515
437	1828	1511
438	1832	1507
439	1836	1502
440	1843	1500
441	1847	1496
442	1851	1491
443	1854	1486
444	1860	1484
445	1864	1479
446	1867	1475
447	1871	1470
448	1875	1465
449	1879	1461
450	1883	1457
451	1888	1453
452	1892	1449
453	1895	1444
454	1899	1439
455	1902	1435
456	1906	1430
457	1909	1426
458	1913	1421
459	1917	1417
460	1922	1413
461	1926	1409
462	1929	1404
463	1933	1400
464	1940	1398
465	1944	1393
466	1948	1389
467	1952	1384
468	1956	1380
469	1960	1376
470	1963	1371
471	1966	1366
472	1971	1362
473	1974	1358
474	1978	1353
475	1982	1349
476	1985	1344
477	1988	1339
478	1992	1335
479	1996	1330
480	2000	1326
481	2003	1322
482	2008	1317
483	2011	1313
484	2015	1309
485	2019	1304
486	2022	1300
487	2026	1295
488	2029	1290
489	2033	1286
490	2037	1282
491	2040	1277
492	2043	1272
493	2046	1267
494	2050	1263
495	2054	1259
496	2057	1254
497	2062	1250
498	2068	1247
499	2071	1243
500	2077	1239
501	2081	1235
502	2085	1231
503	2089	1227
504	2093	1222
505	2098	1219
506	2102	1214
507	2106	1210
508	2109	1206
509	2114	1202
510	2118	1198
511	2122	1193
512	2126	1189
513	2130	1185
514	2134	1181
515	2138	1177
516	2142	1172
517	2147	1169
518	2152	1165
519	2155	1160
520	2160	1156
521	2164	1152
522	2169	1148
523	2173	1144
524	2177	1140
525	2181	1136
526	2184	1131
527	2188	1127
528	2192	1123
529	2196	1118
530	2200	1114
531	2205	1110
532	2210	1107
533	2215	1103
534	2220	1099
535	2225	1095
536	2228	1091
537	2233	1087
538	2237	1083
539	2242	1079
540	2246	1075
541	2250	1071
542	2254	1067
543	2259	1063
544	2264	1059
545	2268	1055
546	2273	1051
547	2277	1047
548	2282	1043
549	2286	1039
550	2291	1035
551	2294	1030
552	2297	1026
553	2301	1022
554	2305	1017
555	2308	1013
556	2313	1009
557	2317	1005
558	2323	1001
559	2326	997
560	2331	993
561	2334	988
562	2339	984
563	2342	980
564	2345	975
565	2349	971
566	2352	966
567	2356	962
568	2360	958
569	2364	954
570	2368	949
571	2371	945
572	2375	940
573	2378	936
574	2381	932
575	2386	927
576	2389	923
577	2393	919
578	2396	914
579	2400	910
580	2404	906
581	2407	901
582	2411	897
583	2414	892
584	2418	888
585	2421	884
586	2424	879
587	2428	875
588	2431	871
589	2437	867
590	2441	863
591	2444	858
592	2448	854
593	2450	850
594	2455	845
595	2458	841
596	2461	837
597	2465	832
598	2468	828
599	2472	824
600	2476	819
601	2479	815
602	2483	811
603	2486	806
604	2489	802
605	2493	798
606	2496	793
607	2500	789
608	2504	785
609	2507	781
610	2510	776
611	2514	772
